ROW_NAMES	CBX1_average	CBX3_average	CBX5_average	CBX7_average	CBX8_average	MSH2_average	MSH3_average	MSH6_average	PARP1_average	RPA1_average	RPA2_average	RPA3_average	XRCC5_average	XRCC6_average	SSBP1_average	SPIN1_average	WDR76_average	
gi|21327667|ref|NP_056016.1|	6.890571	8.956988	3.852037	-0.8419992	27.4818	0	-1.98339	0	-0.3840973	0	0	-3.461508	0	0	0	-2.869053	72.27201	
gi|13654270|ref|NP_112483.1|	15.24495	22.08266	1.416535	7.528678	-5.062076	0	-2.52914	0	-3.595909	0	0	-4.767529	0	-1.534933	0	1.712414	71.03961	
gi|310923196|ref|NP_001185619.1|	1.879941	6.734352	4.837224	-0.2216965	48.9313	0	0	0	2.593018	0	0	-4.322936	0	0	0	-2.446813	34.21664	
gi|5729877|ref|NP_006588.1|	-255.7869	-226.2191	-130.8012	-151.9423	570.6108	-25.89144	-83.96034	139.7292	-243.4351	295.1569	138.0787	-292.2666	713.3554	12.53029	2038.319	-225.5921	-154.2926	
gi|38327039|ref|NP_002145.3|	-60.10049	-59.06143	-33.41582	-34.59636	215.2445	-1.998937	-35.55814	22.6636	-57.40618	40.05807	13.01988	-75.63154	176.188	-3.149073	949.9514	-52.73036	-61.81611	
gi|23308577|ref|NP_006614.2|	-5.261649	-5.203826	-3.790689	-4.026212	-8.856155	7.933253	3.861099	3.365097	37.3598	-3.696251	45.02831	-8.225081	2.735461e-05	-4.275853	13.06114	0.7255196	-5.853736	
gi|4506753|ref|NP_003698.1|	-6.276349	-6.566693	-3.385138	-4.288812	-2.165005	4.987142	4.680216	13.7229	5.910332	-1.753342	0.5534221	-5.996478	26.17981	4.038086	-3.584856	3.966753	-0.5691724	
gi|378548190|ref|NP_001243731.1|	4.182191	2.057489	4.611949	1.248562	-6.031627	9.037716	6.367664	12.26392	-1.572121	-2.813756	-3.142667	1.532889	-5.093331	-2.378955	-2.682142	16.9355	6.221962	
gi|77539758|ref|NP_001029249.1|	82.23591	1.256995	31.10003	-4.231305	-9.097545	-1.690332	-3.389159	-2.948848	4.472556	-2.001265	-3.567782	-4.398925	-6.44127	28.81559	-2.423134	-0.968448	-3.283588	
gi|291084629|ref|NP_001166995.1|	-4.361412	-4.855477	-2.642191	-2.422587	-0.6615777	23.1735	8.195602	41.79697	-3.791988	-2.01369	-2.878957	-4.783434	-3.807559	-2.038077	33.19143	0.7814626	-3.144321	
